file,size,struct-pattern,date-pattern,depta
ann_13-2.html,2956,0.453125,3.15625,0.9124480000000048
ann_13-20.html,2989,0.453125,3.25,0.5393704000000028
ann_13-3.html,3088,0.484375,3.390625,0.8284236000000007
ann_13-4.html,2817,0.375,3.09375,0.9874295000000046
ann_13-5.html,3273,0.4375,3.5625,0.9185738000000043
ann_13-6.html,4777,0.796875,5.109375,1.3977871000000022
ann_13-7.html,3170,0.375,3.109375,1.007766999999994
ann_13-8.html,2857,0.421875,2.84375,0.801483300000001
ann_13-9.html,2124,0.3125,2.40625,0.5448049999999967
ann_14-1.html,2885,0.625,1.875,1.1085461999999993
ann_14-10.html,788,0.09375,0.46875,0.0427086999999986
ann_14-11.html,1367,0.1875,0.953125,0.3503475999999992
ann_14-12.html,2861,0.71875,1.984375,0.9657472000000027
ann_14-13.html,668,0.140625,0.4375,0.032285000000001673
ann_14-14.html,2869,0.5,1.96875,0.872199600000009
ann_14-15.html,1322,0.234375,0.921875,0.25483520000000226
ann_14-16.html,1055,0.15625,0.703125,0.2520707999999985
ann_14-17.html,621,0.078125,0.4375,0.06917369999999323
ann_14-18.html,2296,0.40625,1.625,0.3895070999999888
ann_14-19.html,1985,0.3125,1.40625,0.4592030999999963
ann_14-2.html,2641,0.359375,1.6875,1.0352852999999982
ann_14-20.html,597,0.09375,0.484375,0.04928300000000263
ann_14-3.html,731,0.09375,0.515625,0.07113659999998845
ann_14-4.html,2860,0.53125,2.0,0.9533485999999982
ann_14-5.html,2803,0.40625,1.90625,1.0553068999999908
ann_14-6.html,2875,0.5625,1.9375,1.0407620000000009
ann_14-7.html,1547,0.375,1.078125,0.44568280000000016
ann_14-8.html,657,0.125,0.46875,0.07418549999999868
ann_14-9.html,657,0.078125,0.46875,0.04918719999999155
ann_15-1.html,2394,0.515625,2.453125,0.29503669999999715
ann_15-10.html,2413,0.390625,2.515625,0.14488000000000056
ann_15-11.html,1876,0.3125,1.890625,0.11113790000000279
ann_15-12.html,3902,1.0625,4.046875,0.6279011000000025
ann_15-13.html,4702,1.359375,4.953125,0.919388799999993
ann_15-14.html,1757,0.265625,1.8125,0.09467100000000528
ann_15-15.html,4540,1.234375,4.671875,0.9132803000000109
ann_15-16.html,5062,1.296875,5.234375,0.9102120000000014
ann_15-17.html,1394,0.21875,1.53125,0.054354800000012915
ann_15-18.html,4585,1.09375,4.765625,0.8944058999999953
ann_15-19.html,2653,0.546875,2.8125,0.19410170000000448
ann_15-2.html,1425,0.265625,1.4375,0.07820110000000113
ann_15-20.html,3578,0.734375,3.671875,0.5518174000000045
ann_15-3.html,1660,0.40625,1.671875,0.11199189999999248
ann_15-4.html,2665,0.453125,2.84375,0.19731649999999945
ann_15-5.html,3918,0.828125,4.15625,0.6994559999999979
ann_15-6.html,2376,0.515625,2.46875,0.2963882999999896
ann_15-7.html,2856,0.609375,2.890625,0.40917829999999356
ann_15-8.html,2609,0.609375,2.703125,0.34269079999999974
ann_15-9.html,1665,0.25,1.78125,0.10196910000000514
ann_16-1.html,1902,0.25,1.96875,0.1712276000000088
ann_16-10.html,1531,0.203125,1.625,0.08150099999998872
ann_16-11.html,2330,0.359375,2.40625,0.1992897999999883
ann_16-12.html,1334,0.28125,1.375,0.13323900000000322
ann_16-13.html,2964,0.578125,3.171875,0.3178379000000007
ann_16-14.html,1799,0.34375,1.921875,0.17952689999999905
ann_16-15.html,1642,0.25,1.765625,0.09298979999999801
ann_16-16.html,3124,0.84375,3.28125,0.5029539999999884
ann_16-17.html,3811,0.859375,4.0,0.5549773000000044
ann_16-18.html,2584,0.421875,2.859375,0.27007399999999393
ann_16-19.html,2342,0.625,2.546875,0.21862790000000132
ann_16-2.html,1519,0.265625,1.671875,0.06384659999999087
ann_16-20.html,1836,0.28125,2.0,0.2965813999999938
ann_16-3.html,2802,0.53125,2.96875,0.25982209999999384
ann_16-4.html,1392,0.25,1.484375,0.0591778000000005
ann_16-5.html,2346,0.40625,2.375,0.22443090000000154
ann_16-6.html,1771,0.28125,1.953125,0.1117362999999898
ann_16-7.html,2004,0.375,2.09375,0.17672869999999818
ann_16-8.html,3629,0.84375,3.71875,0.5815173000000016
ann_16-9.html,1411,0.296875,1.515625,0.07677269999999226
ann_17-1.html,547,0.03125,0.71875,0.15877190000000496
ann_17-10.html,197,0.015625,0.25,0.046007500000001755
ann_17-11.html,350,0.015625,0.484375,0.09981559999999945
ann_17-12.html,288,0.015625,0.40625,0.08708590000000527
ann_17-13.html,453,0.03125,0.640625,0.1539973999999944
ann_17-14.html,102,0.0,0.140625,0.007524300000000039
ann_17-15.html,166,0.015625,0.203125,0.022297900000012305
ann_17-16.html,477,0.046875,0.671875,0.1588399000000038
ann_17-17.html,250,0.015625,0.390625,0.06209680000000617
ann_17-18.html,210,0.015625,0.34375,0.03938170000000696
ann_17-19.html,242,0.015625,0.359375,0.05340110000000209
ann_17-2.html,315,0.015625,0.46875,0.08528069999999843
ann_17-20.html,308,0.03125,0.4375,0.10524250000000279
ann_17-3.html,135,0.0,0.15625,0.010568599999999151
ann_17-4.html,536,0.03125,0.703125,0.16327149999999335
ann_17-5.html,727,0.0625,0.984375,0.344423699999993
ann_17-6.html,527,0.046875,0.71875,0.19320339999998737
ann_17-7.html,571,0.046875,0.625,0.1693210000000107
ann_17-8.html,213,0.015625,0.265625,0.056452300000003675
ann_17-9.html,573,0.046875,0.78125,0.2227794000000074
